"Label","M152, 2D-AR trawl sel","M146, pre-STAR base"
"CA_TWL_ARDEV_y1986_Lbin21",-0.0140664,NA
"CA_TWL_ARDEV_y1986_Lbin22",-0.024365,NA
"CA_TWL_ARDEV_y1986_Lbin23",-0.0576823,NA
"CA_TWL_ARDEV_y1986_Lbin24",0.206382,NA
"CA_TWL_ARDEV_y1986_Lbin25",0.344948,NA
"CA_TWL_ARDEV_y1986_Lbin26",0.0223261,NA
"CA_TWL_ARDEV_y1986_Lbin27",0.0335664,NA
"CA_TWL_ARDEV_y1986_Lbin28",-0.150413,NA
"CA_TWL_ARDEV_y1986_Lbin29",-0.0981698,NA
"CA_TWL_ARDEV_y1986_Lbin30",-0.15876,NA
"CA_TWL_ARDEV_y1986_Lbin31",-0.116252,NA
"CA_TWL_ARDEV_y1986_Lbin32",0.0217571,NA
"CA_TWL_ARDEV_y1986_Lbin33",-0.0138012,NA
"CA_TWL_ARDEV_y1986_Lbin34",-0.0358372,NA
"CA_TWL_ARDEV_y1986_Lbin35",-0.0884474,NA
"CA_TWL_ARDEV_y1986_Lbin36",-0.161359,NA
"CA_TWL_ARDEV_y1986_Lbin37",-0.154471,NA
"CA_TWL_ARDEV_y1986_Lbin38",0.0458707,NA
"CA_TWL_ARDEV_y1987_Lbin10",-0.0011535,NA
"CA_TWL_ARDEV_y1987_Lbin11",-0.00124641,NA
"CA_TWL_ARDEV_y1987_Lbin12",-0.00287471,NA
"CA_TWL_ARDEV_y1987_Lbin13",-0.00415255,NA
"CA_TWL_ARDEV_y1987_Lbin14",-0.00936066,NA
"CA_TWL_ARDEV_y1987_Lbin15",-0.0247673,NA
"CA_TWL_ARDEV_y1987_Lbin16",-0.0656064,NA
"CA_TWL_ARDEV_y1987_Lbin17",-0.136533,NA
"CA_TWL_ARDEV_y1987_Lbin18",-0.208332,NA
"CA_TWL_ARDEV_y1987_Lbin19",-0.31262,NA
"CA_TWL_ARDEV_y1987_Lbin20",0.0730778,NA
"CA_TWL_ARDEV_y1987_Lbin21",0.0462664,NA
"CA_TWL_ARDEV_y1987_Lbin22",0.613268,NA
"CA_TWL_ARDEV_y1987_Lbin23",1.0311,NA
"CA_TWL_ARDEV_y1987_Lbin24",1.4461,NA
"CA_TWL_ARDEV_y1987_Lbin25",0.168647,NA
"CA_TWL_ARDEV_y1987_Lbin26",0.532431,NA
"CA_TWL_ARDEV_y1987_Lbin27",0.430982,NA
"CA_TWL_ARDEV_y1987_Lbin28",0.00922228,NA
"CA_TWL_ARDEV_y1987_Lbin29",0.0731261,NA
"CA_TWL_ARDEV_y1987_Lbin30",-0.183135,NA
"CA_TWL_ARDEV_y1987_Lbin31",-0.146168,NA
"CA_TWL_ARDEV_y1987_Lbin32",-0.146083,NA
"CA_TWL_ARDEV_y1987_Lbin33",-0.145592,NA
"CA_TWL_ARDEV_y1987_Lbin34",-0.158239,NA
"CA_TWL_ARDEV_y1987_Lbin35",-0.139458,NA
"CA_TWL_ARDEV_y1987_Lbin36",-0.157994,NA
"CA_TWL_ARDEV_y1987_Lbin37",-0.132159,NA
"CA_TWL_ARDEV_y1987_Lbin38",-0.345091,NA
"CA_TWL_ARDEV_y1988_Lbin10",-0.00333588,NA
"CA_TWL_ARDEV_y1988_Lbin11",-0.00355066,NA
"CA_TWL_ARDEV_y1988_Lbin12",-0.00453211,NA
"CA_TWL_ARDEV_y1988_Lbin13",-0.00861748,NA
"CA_TWL_ARDEV_y1988_Lbin14",-0.0171727,NA
"CA_TWL_ARDEV_y1988_Lbin15",-0.029095,NA
"CA_TWL_ARDEV_y1988_Lbin16",-0.0424014,NA
"CA_TWL_ARDEV_y1988_Lbin17",-0.0607413,NA
"CA_TWL_ARDEV_y1988_Lbin18",-0.0968584,NA
"CA_TWL_ARDEV_y1988_Lbin19",-0.173087,NA
"CA_TWL_ARDEV_y1988_Lbin20",0.175159,NA
"CA_TWL_ARDEV_y1988_Lbin21",0.311414,NA
"CA_TWL_ARDEV_y1988_Lbin22",0.481815,NA
"CA_TWL_ARDEV_y1988_Lbin23",0.425124,NA
"CA_TWL_ARDEV_y1988_Lbin24",0.229245,NA
"CA_TWL_ARDEV_y1988_Lbin25",0.176322,NA
"CA_TWL_ARDEV_y1988_Lbin26",0.112254,NA
"CA_TWL_ARDEV_y1988_Lbin27",0.0878632,NA
"CA_TWL_ARDEV_y1988_Lbin28",0.251656,NA
"CA_TWL_ARDEV_y1988_Lbin29",0.113417,NA
"CA_TWL_ARDEV_y1988_Lbin30",0.346031,NA
"CA_TWL_ARDEV_y1988_Lbin31",0.332839,NA
"CA_TWL_ARDEV_y1988_Lbin32",-0.347911,NA
"CA_TWL_ARDEV_y1988_Lbin33",-0.328187,NA
"CA_TWL_ARDEV_y1988_Lbin34",-0.196677,NA
"CA_TWL_ARDEV_y1988_Lbin35",-0.185147,NA
"CA_TWL_ARDEV_y1988_Lbin36",-0.0324336,NA
"CA_TWL_ARDEV_y1988_Lbin37",-0.00933205,NA
"CA_TWL_ARDEV_y1988_Lbin38",-0.210569,NA
"CA_TWL_ARDEV_y1989_Lbin10",-0.00253823,NA
"CA_TWL_ARDEV_y1989_Lbin11",-0.00255924,NA
"CA_TWL_ARDEV_y1989_Lbin12",-0.0037817,NA
"CA_TWL_ARDEV_y1989_Lbin13",-0.00630466,NA
"CA_TWL_ARDEV_y1989_Lbin14",-0.0125312,NA
"CA_TWL_ARDEV_y1989_Lbin15",-0.0221997,NA
"CA_TWL_ARDEV_y1989_Lbin16",-0.023852,NA
"CA_TWL_ARDEV_y1989_Lbin17",-0.0352202,NA
"CA_TWL_ARDEV_y1989_Lbin18",0.00518239,NA
"CA_TWL_ARDEV_y1989_Lbin19",0.0114971,NA
"CA_TWL_ARDEV_y1989_Lbin20",-0.0554651,NA
"CA_TWL_ARDEV_y1989_Lbin21",-0.0867736,NA
"CA_TWL_ARDEV_y1989_Lbin22",0.00755752,NA
"CA_TWL_ARDEV_y1989_Lbin23",0.00820394,NA
"CA_TWL_ARDEV_y1989_Lbin24",0.4106,NA
"CA_TWL_ARDEV_y1989_Lbin25",0.199239,NA
"CA_TWL_ARDEV_y1989_Lbin26",0.188794,NA
"CA_TWL_ARDEV_y1989_Lbin27",-0.0263224,NA
"CA_TWL_ARDEV_y1989_Lbin28",-0.00912934,NA
"CA_TWL_ARDEV_y1989_Lbin29",-0.0484556,NA
"CA_TWL_ARDEV_y1989_Lbin30",0.430113,NA
"CA_TWL_ARDEV_y1989_Lbin31",0.251998,NA
"CA_TWL_ARDEV_y1989_Lbin32",1.01256,NA
"CA_TWL_ARDEV_y1989_Lbin33",0.430946,NA
"CA_TWL_ARDEV_y1989_Lbin34",-0.138621,NA
"CA_TWL_ARDEV_y1989_Lbin35",-0.154405,NA
"CA_TWL_ARDEV_y1989_Lbin36",-0.281138,NA
"CA_TWL_ARDEV_y1989_Lbin37",-0.293064,NA
"CA_TWL_ARDEV_y1989_Lbin38",-0.301596,NA
"CA_TWL_ARDEV_y1990_Lbin10",-0.0043926,NA
"CA_TWL_ARDEV_y1990_Lbin11",-0.00458394,NA
"CA_TWL_ARDEV_y1990_Lbin12",-0.00586425,NA
