M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.14,0.5,2600.65,2.12372e-10,0,25.9355,572.689,1977.31,23.9062,0,0,0.802392,0.00573269,0,0,4.38999999999987
0.15,0.5,2598.42,1.31669e-10,0,24.7934,572.329,1976.72,23.8174,0,0,0.757402,0.00571631,0,0,2.15999999999985
0.16,0.5,2597.04,8.38898e-11,0,23.9257,572.235,1976.23,23.8879,0,0,0.760155,0.00570481,0,0,0.779999999999745
0.17,0.5,2596.45,5.49445e-11,0,23.3155,572.364,1975.88,24.0826,0,0,0.80222,0.0056962,0,0,0.1899999999996
0.171052,0.5,2596.43,5.26565e-11,0,23.2655,572.387,1975.85,24.1089,1.76148e-31,0,0.808645,0.00569531,0,0,0.169999999999618
0.174703,0.5,2596.43,4.54843e-11,0,23.1126,572.488,1975.78,24.2081,0,0,0.833637,0.00569266,0,0,0.169999999999618
0.18,0.5,2596.59,3.68581e-11,0,22.9462,572.702,1975.69,24.3723,0,0,0.876908,0.00568961,0,0,0.329999999999927
0.19,0.5,2597.44,2.49707e-11,0,22.8028,573.315,1975.6,24.7372,0,0,0.978846,0.00568836,0,0,1.17999999999984
0.2,0.5,2598.93,1.70196e-11,0,22.8712,574.193,1975.6,25.156,0,0,1.10367,0.00569083,0,0,2.66999999999962
0.21,0.5,2601.05,1.16711e-11,0,23.1356,575.339,1975.71,25.6104,0,0,1.24781,0.00570108,0,0,4.78999999999996
0.22,0.5,2603.75,8.05957e-12,0,23.5823,576.751,1975.92,26.083,0,0,1.40831,0.00572572,0,0,7.48999999999978
0.13,0.55,2603.6,3.60181e-10,0,27.566,573.076,1978.31,23.9885,0,0,0.658639,0.00575369,0,0,7.33999999999969
0.14,0.55,2600.61,2.14651e-10,0,26.1415,572.495,1977.59,23.8226,0,0,0.555137,0.00573406,0,0,4.34999999999991
0.15,0.55,2598.5,1.32176e-10,0,25.0131,572.17,1976.97,23.829,0,0,0.510147,0.00571768,0,0,2.23999999999978
0.16,0.55,2597.21,8.3609e-11,0,24.1651,572.106,1976.45,23.9713,2.03763e-31,0,0.5129,0.00570609,0,0,0.949999999999818
0.17,0.55,2596.69,5.43923e-11,0,23.58,572.258,1976.07,24.2176,0,0,0.554966,0.00569711,0,0,0.429999999999836
0.171052,0.55,2596.68,5.20848e-11,0,23.533,572.284,1976.05,24.2482,1.76148e-31,0,0.56139,0.00569624,0,0,0.419999999999618
0.174703,0.55,2596.7,4.48489e-11,0,23.3907,572.397,1975.96,24.3612,0,0,0.586383,0.00569356,0,0,0.4399999999996
0.18,0.55,2596.9,3.61716e-11,0,23.2408,572.628,1975.85,24.5415,0,0,0.629654,0.00569044,0,0,0.639999999999873
0.19,0.55,2597.79,2.4277e-11,0,23.1321,573.273,1975.72,24.9245,0,0,0.731591,0.00568898,0,0,1.52999999999975
0.2,0.55,2599.32,1.63857e-11,0,23.2396,574.186,1975.69,25.3467,0,0,0.856417,0.00569111,0,0,3.05999999999995
0.21,0.55,2601.46,1.11285e-11,0,23.5474,575.369,1975.75,25.7901,0,0,1.00056,0.00570096,0,0,5.19999999999982
0.22,0.55,2604.18,7.61365e-12,0,24.0421,576.822,1975.91,26.2381,0,0,1.16106,0.00572424,0,0,7.91999999999962
0.13,0.6,2603.63,3.60506e-10,0,27.758,572.912,1978.55,23.9398,0,0,0.461258,0.00575516,0,0,7.36999999999989
0.14,0.6,2600.74,2.13638e-10,0,26.3466,572.361,1977.81,23.8627,0,0,0.357756,0.00573551,0,0,4.47999999999956
0.15,0.6,2598.71,1.30788e-10,0,25.2371,572.064,1977.16,23.9344,0,0,0.312766,0.005719,0,0,2.44999999999982
0.16,0.6,2597.49,8.2207e-11,0,24.4132,572.025,1976.6,24.1223,0,0,0.315519,0.00570735,0,0,1.22999999999956
0.17,0.6,2597.02,5.31227e-11,0,23.8567,572.2,1976.2,24.3965,1.7854e-31,0,0.357585,0.00569795,0,0,0.759999999999764
0.171052,0.6,2597.01,5.08282e-11,0,23.8129,572.228,1976.17,24.4291,0,0,0.364009,0.00569707,0,0,0.75
0.174703,0.6,2597.04,4.3644e-11,0,23.6822,572.351,1976.07,24.5479,1.68189e-31,0,0.389002,0.00569439,0,0,0.779999999999745
0.18,0.6,2597.26,3.50505e-11,0,23.55,572.597,1975.94,24.7333,0,0,0.432273,0.00569126,0,0,1
0.19,0.6,2598.18,2.33268e-11,0,23.4772,573.27,1975.77,25.1157,1.39824e-31,0,0.53421,0.00568936,0,0,1.91999999999962
0.2,0.6,2599.73,1.56134e-11,0,23.6239,574.213,1975.7,25.5243,0,0,0.659035,0.00569125,0,0,3.4699999999998
0.21,0.6,2601.88,1.05212e-11,0,23.9738,575.429,1975.73,25.9422,0,0,0.803176,0.00570048,0,0,5.61999999999989
0.22,0.6,2604.6,7.14827e-12,0,24.5137,576.918,1975.84,26.3533,0,0,0.963678,0.00572209,0,0,8.33999999999969
0.13,0.65,2603.81,3.55886e-10,0,27.9457,572.803,1978.74,24.0031,0,0,0.305899,0.00575671,0,0,7.54999999999973
0.14,0.65,2601,2.09963e-10,0,26.5522,572.277,1977.97,23.9873,0,0,0.202398,0.00573698,0,0,4.73999999999978
0.15,0.65,2599.02,1.27911e-10,0,25.4653,572.002,1977.29,24.1002,0,0,0.157408,0.00572036,0,0,2.75999999999976
0.16,0.65,2597.84,7.99465e-11,0,24.6679,571.985,1976.7,24.3125,0,0,0.160161,0.00570831,0,0,1.57999999999993
0.17,0.65,2597.4,5.13309e-11,0,24.1415,572.181,1976.27,24.5964,0,0,0.202226,0.00569877,0,0,1.13999999999987
0.171052,0.65,2597.39,4.90795e-11,0,24.101,572.211,1976.24,24.6294,0,0,0.208651,0.00569784,0,0,1.12999999999965
0.174703,0.65,2597.44,4.20392e-11,0,23.982,572.343,1976.12,24.7479,0,0,0.233643,0.00569516,0,0,1.17999999999984
0.18,0.65,2597.66,3.36376e-11,0,23.8673,572.6,1975.98,24.9302,0,0,0.276914,0.00569194,0,0,1.39999999999964
0.19,0.65,2598.59,2.22249e-11,0,23.8296,573.298,1975.78,25.2979,0,0,0.378851,0.0056896,0,0,2.32999999999993
0.2,0.65,2600.14,1.47766e-11,0,24.0129,574.267,1975.67,25.6816,0,0,0.503677,0.00569113,0,0,3.87999999999965
0.21,0.65,2602.29,9.89976e-12,0,24.401,575.512,1975.66,26.065,1.11943e-31,0,0.647817,0.00569962,0,0,6.02999999999975
0.22,0.65,2605,6.69668e-12,0,24.9803,577.033,1975.74,26.4328,0,0,0.80832,0.00571954,0,0,8.73999999999978
0.13,0.7,2604.1,3.47196e-10,0,28.1318,572.742,1978.89,24.1462,0,0,0.188855,0.00575832,0,0,7.83999999999969
